player_name,sentiment_score
David Raya Martín,0.4591
Kepa Arrizabalaga Revuelta,-0.4885
Illan Meslier,-0.9968
Gabriel dos Santos Magalhães,0.2675
Jurriën Timber,0.0
William Saliba,-0.4108
Myles Lewis-Skelly,-0.0049
Riccardo Calafiori,-0.1781
Piero Hincapié,-0.8277
Benjamin White,-0.7803
Cristhian Mosquera,-0.3167
Bukayo Saka,0.979
Declan Rice,0.4077
Eberechi Eze,-0.0422
Martin Ødegaard,-0.5578
Noni Madueke,0.994
Mikel Merino Zazón,0.5533
Gabriel Martinelli Silva,-0.1761
Martín Zubimendi Ibáñez,-0.3055
Max Dowman,0.6457
Ethan Nwaneri,0.0255
Fábio Ferreira Vieira,0.0
Reiss Nelson,-0.2745
Viktor Gyökeres,0.1219
Kai Havertz,0.9991
Gabriel Fernando de Jesus,0.0
Bruno Guimarães Rodriguez Moura,0.1622
Christos Tzolis,0.1125
Emiliano Martínez Romero,-0.4934
Marco Bizot,0.7291
Lucas Digne,0.7269
Ezri Konsa Ngoyo,-0.2409
Matty Cash,0.7395
Tyrone Mings,0.0
Pau Torres,0.0
Lamare Bogarde,0.9947
Ian Maatsen,-0.0092
Victor Lindelöf,0.0
Andrés García,0.0
Kosta Nedeljkovic,0.2129
Emiliano Buendía Stati,0.219
Evann Guessand,0.1534
Leon Bailey,-0.2756
John McGinn,0.4389
Ross Barkley,0.0
Boubacar Kamara,0.2121
Amadou Onana,0.3387
Samuel Iling-Junior,0.0
Bradley Burrowes,0.4043
George Hemmings,0.9948
Alysson Edward Franco da Rocha dos Santos,0.0
Johan Manzambi,-0.1607
Joao Gomes,0.8629
Ollie Watkins,0.0742
Tammy Abraham,0.0
Alejandro Garnacho Ferreyra,0.0977
Đorđe Petrović,0.0821
Fraser Forster,0.0
Will Dennis,0.0
James Hill,0.0
Adrien Truffert,-0.5565
Bafodé Diakité,0.0
Veljko Milosavljevic,0.0
Adam Smith,0.9134
Julián Araujo Zúñiga,0.0
Julio Soler Barreto,0.0
Rayan Vitor Simplício Rocha,0.0
Marcus Tavernier,0.4189
Alex Scott,-0.6394
Justin Kluivert,0.8484
Lewis Cook,0.0
Ben Gannon-Doak,0.0377
Tyler Adams,0.537
David Brooks,0.0
